M_S_KANAL01_LL1;2024.978;-174.223;-199.303
M_S_KANAL01_LL2;2030.619;-174.776;-184.847
M_S_KANAL01_LL3;2033.328;-173.73;-167.538
M_S_KANAL01_LL4;2038.183;-174.523;-151.668
M_S_KANAL01_LL5;2039.266;-173.812;-136.957
M_S_KANAL01_LL6;2047.174;-174.585;-119.321
M_S_KANAL02_LL1;1995.732;-181.431;-190.55
M_S_KANAL02_LL2;1999.324;-181.978;-172.994
M_S_KANAL02_LL3;2003.376;-182.987;-157.052
M_S_KANAL02_LL4;2006.737;-183.861;-140.127
M_S_KANAL02_LL5;2010.102;-184.84;-123.655
M_S_KANAL02_LL6;2012.52;-185.354;-106.041
M_S_KANAL03_LL1;1969.576;-171.985;-183.458
M_S_KANAL03_LL2;1973.417;-176.983;-166.196
M_S_KANAL03_LL3;1976.551;-178.089;-149.432
M_S_KANAL03_LL4;1979.337;-179.941;-132.391
M_S_KANAL03_LL5;1983.165;-180.723;-116.288
M_S_KANAL03_LL6;1985.747;-181.66;-97.566
M_S_KANAL04_LL1;1946.707;-163.308;-178.634
M_S_KANAL04_LL2;1950.609;-163.388;-161.372
M_S_KANAL04_LL3;1953.623;-163.527;-145.139
M_S_KANAL04_LL4;1956.491;-163.472;-128.97
M_S_KANAL04_LL5;1959.654;-163.717;-112.868
M_S_KANAL04_LL6;1963.092;-163.812;-95.089
M_S_KANAL05_LL1;1921.29;-157.055;-171.2
M_S_KANAL05_LL2;1923.232;-157.67;-154.682
M_S_KANAL05_LL3;1925.979;-158.292;-138.523
M_S_KANAL05_LL4;1930.061;-159.04;-121.796
M_S_KANAL05_LL5;1933.203;-159.036;-105.137
M_S_KANAL05_LL6;1936.906;-158.668;-88.566
M_S_KANAL06_LL1;1893.144;-157.103;-166.986
M_S_KANAL06_LL2;1896.517;-159.269;-147.525
M_S_KANAL06_LL3;1899.581;-160.347;-130.002
M_S_KANAL06_LL4;1901.318;-162.233;-113.473
M_S_KANAL06_LL5;1905.284;-161.543;-96.43
M_S_KANAL06_LL6;1905.673;-162.424;-78.065
M_S_KANAL07_LL1;1866.617;-156.209;-155.729
M_S_KANAL07_LL2;1866.718;-157.168;-137.909
M_S_KANAL07_LL3;1870.21;-157.362;-121.279
M_S_KANAL07_LL4;1873.06;-157.686;-105.192
M_S_KANAL07_LL5;1876.413;-158.862;-87.158
M_S_KANAL07_LL6;1879.933;-158.566;-69.814
M_S_KANAL08_LL1;1842.269;-139.987;-151.901
M_S_KANAL08_LL2;1845.452;-140.263;-135.65
M_S_KANAL08_LL3;1848.607;-139.861;-119.183
M_S_KANAL08_LL4;1850.726;-138.668;-102.445
M_S_KANAL08_LL5;1856.883;-138.293;-86.683
M_S_KANAL08_LL6;1858.163;-137.234;-68.155
M_S_KANAL09_LL1;1814.572;-130.552;-146.032
M_S_KANAL09_LL2;1817.204;-131.622;-127.781
M_S_KANAL09_LL3;1821.543;-131.191;-112.008
M_S_KANAL09_LL4;1823.973;-130.842;-94.63
M_S_KANAL09_LL5;1827.778;-129.457;-78.343
M_S_KANAL09_LL6;1829.288;-128.263;-59.513
M_S_KANAL10_LL1;1768.875;-159.261;-128.46
M_S_KANAL10_LL2;1769.186;-160.824;-110.262
M_S_KANAL10_LL3;1771.85;-161.673;-91.632
M_S_KANAL10_LL4;1775.738;-160.377;-72.964
M_S_KANAL10_LL5;1777.642;-162.536;-56.018
M_S_KANAL10_LL6;1781.179;-160.696;-37.53
M_KANAL01_LL1;1658.709;-1492.208;161.579
M_KANAL01_LL2;1673.404;-1483.309;197.321
M_KANAL01_LL3;1680.394;-1479.525;235.427
M_KANAL01_LL4;1695.852;-1462.075;261.668
M_KANAL01_LL5;1688;-1456.051;295.588
M_KANAL01_LL6;1726.797;-1419.358;322.68
M_KANAL02_LL1;1590.014;-1508.089;189.858
M_KANAL02_LL2;1597.363;-1514.663;227.782
M_KANAL02_LL3;1604.774;-1518.118;267.047
M_KANAL02_LL4;1615.351;-1512.897;302.338
M_KANAL02_LL5;1627.005;-1503.59;337.537
M_KANAL02_LL6;1636.891;-1490.151;373.931
M_KANAL03_LL1;1505.479;-1560.94;223.231
M_KANAL03_LL2;1518.007;-1560.997;262.208
M_KANAL03_LL3;1529.342;-1550.376;297.823
M_KANAL03_LL4;1539.885;-1546.218;335.137
M_KANAL03_LL5;1551.219;-1540.053;371.855
M_KANAL03_LL6;1558.007;-1534.864;409.647
M_KANAL04_LL1;1430.298;-1591.203;248.668
M_KANAL04_LL2;1437.566;-1599.838;291.918
M_KANAL04_LL3;1444.511;-1600.094;331.831
M_KANAL04_LL4;1459.132;-1577.99;366.288
M_KANAL04_LL5;1477.914;-1543.001;394.942
M_KANAL04_LL6;1491.701;-1529.3;429.243
M_KANAL05_LL1;1396.126;-1503.533;243.85
M_KANAL05_LL2;1398.722;-1511.544;287.285
M_KANAL05_LL3;1405.976;-1517.099;327.038
M_KANAL05_LL4;1421.373;-1494.729;359.923
M_KANAL05_LL5;1424.334;-1507.551;403.397
M_KANAL05_LL6;1432.528;-1509.736;444.871
M_KANAL06_LL1;1318.785;-1531.268;263.614
M_KANAL06_LL2;1322.834;-1525.551;309.036
M_KANAL06_LL3;1335.98;-1532.712;347.88
M_KANAL06_LL4;1344.49;-1522.496;386.35
M_KANAL06_LL5;1353.748;-1526.77;428.101
M_KANAL06_LL6;1362.592;-1510.276;464.899
M_KANAL07_LL1;1253.268;-1516.995;285.333
M_KANAL07_LL2;1255.926;-1514.865;328.024
M_KANAL07_LL3;1260.009;-1526.391;371.94
