M_KANAL07_LL4;1269.89;-1528.691;413.317
M_KANAL07_LL5;1277.942;-1530.976;454.553
M_KANAL07_LL6;1287.015;-1529.449;497.362
M_KANAL08_LL1;1153.104;-1568.496;323.923
M_KANAL08_LL2;1162.324;-1569.254;367.768
M_KANAL08_LL3;1168.09;-1576.768;410.875
M_KANAL08_LL4;1167.888;-1586.721;458.739
M_KANAL08_LL5;1178.824;-1585.54;500.756
M_KANAL08_LL6;1181.11;-1589.039;549.04
M_KANAL09_LL1;1042.952;-1627.096;369.886
M_KANAL09_LL2;1051.739;-1628.59;416.142
M_KANAL09_LL3;1050.465;-1646.877;465.488
M_KANAL09_LL4;1045.867;-1669.317;520.985
M_KANAL09_LL5;1052.715;-1681.044;568.561
M_KANAL09_LL6;1048.964;-1686.628;620.605
M_KANAL10_LL1;1002.973;-1536.336;359.924
M_KANAL10_LL2;1012.351;-1540.556;404.15
M_KANAL10_LL3;1011.869;-1557.215;456.072
M_KANAL10_LL4;1008.249;-1574.015;505.911
M_KANAL10_LL5;1007.271;-1592.74;558.152
M_KANAL10_LL6;1007.43;-1600.622;608.319
